Date,View,Videos
1/1/2020,53159635,177
1/2/2020,32349526,223
1/3/2020,51309740,240
1/4/2020,66406986,272
1/5/2020,71190852,226
1/6/2020,40217293,264
1/7/2020,48891598,291
1/8/2020,52517299,321
1/9/2020,47241614,291
1/10/2020,73756620,322
1/11/2020,100958371,301
1/12/2020,98369603,255
1/13/2020,42821203,280
1/14/2020,50426520,318
1/15/2020,56891156,440
1/16/2020,57211667,328
1/17/2020,58309255,355
1/18/2020,103309555,325
1/19/2020,72600339,284
1/20/2020,55910728,286
1/21/2020,47725881,343
1/22/2020,66982518,317
1/23/2020,53807832,316
1/24/2020,79010459,303
1/25/2020,86808770,306
1/26/2020,59391056,232
1/27/2020,49260895,277
1/28/2020,66350670,319
1/29/2020,56470928,310
1/30/2020,59198986,982
1/31/2020,68613944,379
2/1/2020,79055649,297
2/2/2020,72982920,239
2/3/2020,51198152,273
2/4/2020,52694654,293
2/5/2020,56307131,294
2/6/2020,49370239,318
2/7/2020,80358852,313
2/8/2020,78581031,303
2/9/2020,70725616,289
2/10/2020,43773618,271
2/11/2020,53701352,296
2/12/2020,55895285,319
2/13/2020,57078798,298
2/14/2020,66047136,321
2/15/2020,99121387,312
2/16/2020,88165143,248
2/17/2020,43942661,296
2/18/2020,46131016,298
2/19/2020,57953312,297
2/20/2020,49638367,286
2/21/2020,66652189,325
2/22/2020,135542351,306
2/23/2020,53371830,268
2/24/2020,35298775,261
2/25/2020,44530209,298
2/26/2020,59888135,296
2/27/2020,43785446,306
2/28/2020,75922914,334
2/29/2020,86682220,298
3/1/2020,75989875,256
3/2/2020,36950526,281
3/3/2020,50774922,295
3/4/2020,64617645,304
3/5/2020,46867014,292
3/6/2020,94394041,329
3/7/2020,68970163,292
3/8/2020,62943811,256
3/9/2020,33304890,286
3/10/2020,58740600,321
3/11/2020,75543179,332
3/12/2020,53691536,297
3/13/2020,55254768,308
3/14/2020,95387803,314
3/15/2020,62274095,247
3/16/2020,40567945,264
3/17/2020,95430198,352
3/18/2020,61460364,319
3/19/2020,55995130,360
3/20/2020,75012412,346
3/21/2020,76379127,337
3/22/2020,74357956,306
3/23/2020,31815742,303
3/24/2020,55249402,358
3/25/2020,63662578,335
3/26/2020,59090960,326
3/27/2020,63425663,381
3/28/2020,89833080,363
3/29/2020,68381360,287
3/30/2020,38448930,314
3/31/2020,61969309,356
4/1/2020,71548570,366
4/2/2020,61258406,338
4/3/2020,75741461,370
4/4/2020,87676869,352
4/5/2020,66075744,307
4/6/2020,44874984,280
4/7/2020,62096261,355
4/8/2020,85096071,382
4/9/2020,63840923,374
4/10/2020,64750500,382
4/11/2020,57164348,343
4/12/2020,59662875,342
4/13/2020,58346481,394
4/14/2020,55387483,364
4/15/2020,63222909,381
4/16/2020,69020100,371
4/17/2020,75546591,386
4/18/2020,68987995,354
4/19/2020,64038020,344
4/20/2020,55205840,347
4/21/2020,55422451,358
4/22/2020,63374065,385
4/23/2020,65277403,360
4/24/2020,58663585,394
4/25/2020,84807882,367
